command line: ../SSG/exact-counting_pcap.py vpp_generator_capture.pcap vpp_generator_capture_ref.txt --parsing_mode 1
simulation time: 0:05:22.802926
==========================================
Global HLL: 186198 722
cardinality_count	key	ratio_cardinality		||	elephant_count	ratio_elephant	|	overMinRank	ratio_overMinRank
==========VVV=============
1479 	 11.22.33.8 	 0.794		||	896870 	 4.54	|	29716 	 3.31
1479 	 11.22.33.9 	 0.794		||	896855 	 4.54	|	26665 	 2.97
1479 	 11.22.33.4 	 0.794		||	896889 	 4.54	|	29097 	 3.24
1479 	 11.22.33.5 	 0.794		||	896905 	 4.54	|	23669 	 2.64
1479 	 11.22.33.6 	 0.794		||	896911 	 4.54	|	28510 	 3.18
1479 	 11.22.33.7 	 0.794		||	896889 	 4.54	|	30910 	 3.45
1479 	 11.22.33.2 	 0.794		||	896879 	 4.54	|	24854 	 2.77
1479 	 11.22.33.3 	 0.794		||	896870 	 4.54	|	23653 	 2.64
239 	 11.12.34.178 	 0.128		||	13908 	 0.0704	|	638 	 4.59
239 	 11.12.34.179 	 0.128		||	13907 	 0.0704	|	174 	 1.25
239 	 11.12.34.176 	 0.128		||	13907 	 0.0704	|	581 	 4.18
239 	 11.12.34.177 	 0.128		||	13909 	 0.0704	|	702 	 5.05
239 	 11.12.34.174 	 0.128		||	13904 	 0.0704	|	635 	 4.57
239 	 11.12.34.175 	 0.128		||	13906 	 0.0704	|	293 	 2.11
239 	 11.12.34.172 	 0.128		||	13904 	 0.0704	|	294 	 2.11
239 	 11.12.34.173 	 0.128		||	13904 	 0.0704	|	468 	 3.37
239 	 11.12.34.170 	 0.128		||	13902 	 0.0704	|	352 	 2.53
239 	 11.12.34.171 	 0.128		||	13902 	 0.0704	|	233 	 1.68
239 	 11.12.34.78 	 0.128		||	13904 	 0.0704	|	350 	 2.52
239 	 11.12.34.79 	 0.128		||	13905 	 0.0704	|	286 	 2.06
239 	 11.12.34.74 	 0.128		||	13905 	 0.0704	|	818 	 5.88
239 	 11.12.34.75 	 0.128		||	13902 	 0.0704	|	407 	 2.93
239 	 11.12.34.76 	 0.128		||	13904 	 0.0704	|	520 	 3.74
239 	 11.12.34.77 	 0.128		||	13904 	 0.0704	|	642 	 4.62
239 	 11.12.34.70 	 0.128		||	13903 	 0.0704	|	405 	 2.91
239 	 11.12.34.71 	 0.128		||	13904 	 0.0704	|	467 	 3.36
239 	 11.12.34.72 	 0.128		||	13903 	 0.0704	|	289 	 2.08
239 	 11.12.34.73 	 0.128		||	13904 	 0.0704	|	292 	 2.1
239 	 11.12.33.197 	 0.128		||	13909 	 0.0704	|	404 	 2.9
239 	 11.12.33.196 	 0.128		||	13908 	 0.0704	|	470 	 3.38
239 	 11.12.33.195 	 0.128		||	13908 	 0.0704	|	640 	 4.6
239 	 11.12.33.194 	 0.128		||	13909 	 0.0704	|	465 	 3.34
239 	 11.12.33.193 	 0.128		||	13909 	 0.0704	|	233 	 1.68
239 	 11.12.33.192 	 0.128		||	13907 	 0.0704	|	287 	 2.06
239 	 11.12.33.191 	 0.128		||	13906 	 0.0704	|	348 	 2.5
239 	 11.12.33.190 	 0.128		||	13907 	 0.0704	|	347 	 2.5
239 	 11.12.33.199 	 0.128		||	13909 	 0.0704	|	584 	 4.2
239 	 11.12.33.198 	 0.128		||	13910 	 0.0704	|	638 	 4.59
239 	 11.12.35.147 	 0.128		||	13899 	 0.0704	|	636 	 4.58
239 	 11.12.35.173 	 0.128		||	13894 	 0.0704	|	348 	 2.5
239 	 11.12.35.172 	 0.128		||	13895 	 0.0704	|	407 	 2.93
239 	 11.12.35.171 	 0.128		||	13895 	 0.0704	|	406 	 2.92
239 	 11.12.35.170 	 0.128		||	13895 	 0.0704	|	404 	 2.91
239 	 11.12.35.177 	 0.128		||	13897 	 0.0704	|	291 	 2.09
239 	 11.12.35.176 	 0.128		||	13896 	 0.0704	|	640 	 4.61
239 	 11.12.35.175 	 0.128		||	13898 	 0.0704	|	232 	 1.67
239 	 11.12.35.174 	 0.128		||	13896 	 0.0704	|	525 	 3.78
239 	 11.12.35.179 	 0.128		||	13896 	 0.0704	|	410 	 2.95
239 	 11.12.35.178 	 0.128		||	13897 	 0.0704	|	402 	 2.89
239 	 11.12.33.128 	 0.128		||	13918 	 0.0705	|	288 	 2.07
239 	 11.12.33.129 	 0.128		||	13918 	 0.0705	|	520 	 3.74
239 	 11.12.33.122 	 0.128		||	13914 	 0.0705	|	461 	 3.31
239 	 11.12.33.123 	 0.128		||	13912 	 0.0704	|	470 	 3.38
239 	 11.12.33.120 	 0.128		||	13913 	 0.0704	|	231 	 1.66
239 	 11.12.33.121 	 0.128		||	13915 	 0.0705	|	469 	 3.37
