command line: ../SSG/exact-counting_pcap.py capture.pcap capture.out --parsing_mode 1
simulation time: 0:00:09.121314
==========================================
Global HLL: 33385 25651
cardinality_count	key	ratio_cardinality		||	elephant_count	ratio_elephant	|	overMinRank	ratio_overMinRank
==========VVV=============
1 	 79.252.19.167 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 77.147.53.155 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 48.27.72.24 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 77.147.53.159 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 211.179.172.83 	 0.003		||	30 	 0.006	|	30 	 100
1 	 141.84.234.209 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 159.139.139.58 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 159.139.139.59 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 159.139.139.56 	 0.00599		||	9 	 0.0018	|	0 	 0
1 	 159.139.139.57 	 0.003		||	4 	 0.0008	|	0 	 0
2 	 159.139.139.54 	 0.00599		||	3 	 0.0006	|	0 	 0
1 	 159.139.139.55 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 146.245.57.127 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 159.139.139.53 	 0.00599		||	10 	 0.002	|	0 	 0
1 	 159.139.139.51 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 76.216.191.4 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 202.210.4.192 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 48.130.160.247 	 0.003		||	6 	 0.0012	|	0 	 0
1 	 46.218.176.215 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 61.73.88.219 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 58.232.75.117 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 53.64.208.203 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 48.130.139.94 	 0.003		||	6 	 0.0012	|	0 	 0
1 	 30.213.24.163 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 74.233.150.144 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 78.155.87.193 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 50.67.178.140 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 37.115.227.214 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 250.108.105.171 	 0.003		||	2 	 0.0004	|	0 	 0
3 	 53.214.90.146 	 0.00899		||	5 	 0.001	|	0 	 0
1 	 37.117.151.6 	 0.003		||	1 	 0.0002	|	1 	 100
1 	 75.214.184.62 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 53.200.174.223 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 78.51.11.173 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 140.173.158.30 	 0.003		||	33 	 0.0066	|	0 	 0
1 	 202.55.170.36 	 0.003		||	5 	 0.001	|	0 	 0
1 	 56.95.201.102 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 250.68.235.82 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 230.2.206.48 	 0.003		||	14 	 0.0028	|	0 	 0
1 	 200.14.45.240 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 48.129.106.223 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 60.79.110.138 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 92.162.249.160 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 141.11.165.183 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 242.94.164.97 	 0.003		||	10 	 0.002	|	0 	 0
1 	 74.248.151.174 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 230.51.20.7 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 68.77.90.76 	 0.00599		||	9 	 0.0018	|	0 	 0
1 	 75.139.145.149 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 58.227.102.149 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 82.150.165.79 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 155.19.162.196 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 141.36.33.28 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 53.233.190.228 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 72.151.32.181 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 140.161.45.8 	 0.00599		||	6 	 0.0012	|	0 	 0
1 	 53.233.190.224 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 223.142.194.63 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 156.164.44.13 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 155.216.156.6 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 37.48.125.209 	 0.003		||	50 	 0.01	|	0 	 0
1 	 144.38.75.146 	 0.003		||	12 	 0.0024	|	0 	 0
1 	 78.131.113.186 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 69.250.228.113 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 111.150.184.246 	 0.003		||	9 	 0.0018	|	0 	 0
1 	 132.49.233.2 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 103.50.174.139 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 140.81.248.52 	 0.003		||	5 	 0.001	|	0 	 0
1 	 157.84.234.243 	 0.003		||	23 	 0.0046	|	0 	 0
4 	 53.245.126.224 	 0.012		||	4 	 0.0008	|	0 	 0
1 	 159.64.141.61 	 0.003		||	5 	 0.001	|	0 	 0
1 	 103.162.255.233 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 48.138.27.221 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 70.196.33.115 	 0.003		||	5 	 0.001	|	0 	 0
1 	 67.110.62.206 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 69.31.117.138 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 141.135.236.81 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 202.250.131.253 	 0.003		||	4 	 0.0008	|	0 	 0
4 	 141.135.236.85 	 0.012		||	5 	 0.001	|	0 	 0
3 	 155.16.78.90 	 0.00899		||	9 	 0.0018	|	0 	 0
1 	 6.209.178.79 	 0.003		||	1 	 0.0002	|	0 	 0
3 	 64.163.244.29 	 0.00899		||	3 	 0.0006	|	0 	 0
1 	 73.47.197.93 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 230.56.68.158 	 0.003		||	1 	 0.0002	|	1 	 100
1 	 50.72.10.54 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 48.131.142.94 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 69.246.44.236 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 53.233.108.43 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 53.69.213.74 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 95.187.191.148 	 0.003		||	324 	 0.0648	|	0 	 0
2 	 64.132.136.126 	 0.00599		||	2 	 0.0004	|	0 	 0
1 	 74.181.77.250 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 67.193.65.0 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 48.130.199.179 	 0.003		||	2 	 0.0004	|	2 	 100
2 	 66.88.49.243 	 0.00599		||	6 	 0.0012	|	0 	 0
1 	 30.196.81.204 	 0.003		||	5 	 0.001	|	0 	 0
1 	 97.94.123.194 	 0.003		||	11 	 0.0022	|	0 	 0
1 	 230.90.86.176 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 157.135.11.235 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 76.100.12.161 	 0.003		||	2 	 0.0004	|	0 	 0
10 	 80.47.152.198 	 0.03		||	80 	 0.016	|	0 	 0
8 	 80.47.152.199 	 0.024		||	86 	 0.0172	|	0 	 0
1 	 6.211.247.51 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 73.87.8.181 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 76.169.46.203 	 0.003		||	4 	 0.0008	|	0 	 0
5 	 80.47.152.196 	 0.015		||	25 	 0.005	|	0 	 0
3 	 80.47.152.197 	 0.00899		||	35 	 0.007	|	0 	 0
1 	 80.47.152.194 	 0.003		||	6 	 0.0012	|	0 	 0
1 	 80.47.152.195 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 96.59.189.149 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 136.113.110.175 	 0.00599		||	2 	 0.0004	|	0 	 0
1 	 48.107.45.16 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 59.51.52.162 	 0.003		||	2 	 0.0004	|	2 	 100
2 	 77.40.220.40 	 0.00599		||	2 	 0.0004	|	0 	 0
1 	 30.249.162.74 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 66.220.123.67 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 102.90.158.125 	 0.003		||	1 	 0.0002	|	1 	 100
1 	 152.9.95.75 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 146.253.50.116 	 0.003		||	8 	 0.0016	|	0 	 0
1 	 200.19.93.166 	 0.003		||	1 	 0.0002	|	0 	 0
3 	 202.73.201.148 	 0.00899		||	317 	 0.0634	|	0 	 0
1 	 202.73.201.149 	 0.003		||	5 	 0.001	|	0 	 0
1 	 157.123.220.0 	 0.003		||	7 	 0.0014	|	0 	 0
1 	 106.5.211.95 	 0.003		||	5 	 0.001	|	0 	 0
8 	 140.68.142.20 	 0.024		||	94 	 0.0188	|	0 	 0
1 	 56.105.143.231 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 145.110.166.87 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 202.237.219.82 	 0.003		||	42 	 0.0084	|	0 	 0
1 	 43.54.52.38 	 0.003		||	6 	 0.0012	|	0 	 0
1 	 133.12.74.189 	 0.003		||	5 	 0.001	|	0 	 0
1 	 73.86.136.18 	 0.003		||	12 	 0.0024	|	0 	 0
1 	 53.221.167.135 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 244.63.18.104 	 0.003		||	7 	 0.0014	|	0 	 0
1 	 4.154.102.175 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 53.167.219.251 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 202.11.22.11 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 73.64.203.210 	 0.003		||	5 	 0.001	|	0 	 0
1 	 74.3.148.169 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 53.221.125.142 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 86.71.32.66 	 0.003		||	3 	 0.0006	|	0 	 0
1 	 202.124.21.223 	 0.003		||	149 	 0.0298	|	0 	 0
12 	 8.42.78.218 	 0.0359		||	41 	 0.0082	|	0 	 0
1 	 156.18.102.129 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 53.161.202.166 	 0.003		||	8 	 0.0016	|	0 	 0
2 	 8.42.78.213 	 0.00599		||	41 	 0.0082	|	0 	 0
2 	 8.42.78.211 	 0.00599		||	4 	 0.0008	|	0 	 0
1 	 8.42.78.216 	 0.003		||	18 	 0.0036	|	0 	 0
2 	 8.42.78.215 	 0.00599		||	6 	 0.0012	|	0 	 0
4 	 8.42.78.214 	 0.012		||	52 	 0.0104	|	0 	 0
1 	 89.70.138.237 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 73.87.76.119 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 66.212.143.133 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 230.16.11.240 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 111.4.61.143 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 77.8.191.201 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 50.106.239.173 	 0.003		||	8 	 0.0016	|	0 	 0
1 	 53.166.52.171 	 0.003		||	19 	 0.0038	|	0 	 0
1 	 201.40.241.72 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 75.145.58.84 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 107.11.88.142 	 0.003		||	42 	 0.0084	|	0 	 0
1 	 67.198.200.241 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 202.105.110.92 	 0.003		||	13 	 0.0026	|	0 	 0
1 	 69.255.5.114 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 141.199.67.7 	 0.003		||	1 	 0.0002	|	0 	 0
5 	 69.150.169.168 	 0.015		||	102 	 0.0204	|	0 	 0
1 	 141.199.67.8 	 0.003		||	163 	 0.0326	|	163 	 100
2 	 69.150.169.163 	 0.00599		||	7 	 0.0014	|	0 	 0
1 	 61.154.124.126 	 0.003		||	7 	 0.0014	|	0 	 0
1 	 140.147.61.38 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 66.166.1.31 	 0.003		||	44 	 0.0088	|	0 	 0
2 	 100.50.96.222 	 0.00599		||	6 	 0.0012	|	0 	 0
4 	 100.50.96.223 	 0.012		||	35 	 0.007	|	0 	 0
1 	 84.214.213.184 	 0.003		||	12 	 0.0024	|	0 	 0
1 	 84.214.213.185 	 0.003		||	42 	 0.0084	|	0 	 0
1 	 146.241.169.64 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 84.214.213.183 	 0.00599		||	2 	 0.0004	|	1 	 50
1 	 48.17.4.191 	 0.003		||	32 	 0.0064	|	0 	 0
7 	 100.50.96.229 	 0.021		||	79 	 0.0158	|	0 	 0
1 	 70.214.169.84 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 30.183.187.158 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 91.50.206.213 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 70.254.57.118 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 43.55.198.78 	 0.003		||	33 	 0.0066	|	0 	 0
1 	 53.245.232.250 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 230.60.68.32 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 70.227.49.213 	 0.003		||	5 	 0.001	|	0 	 0
1 	 70.210.83.167 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 67.202.204.47 	 0.003		||	1 	 0.0002	|	0 	 0
2 	 93.181.165.218 	 0.00599		||	11 	 0.0022	|	0 	 0
1 	 67.202.204.42 	 0.003		||	4 	 0.0008	|	0 	 0
1 	 77.42.55.193 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 202.247.16.203 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 48.138.10.207 	 0.003		||	2 	 0.0004	|	0 	 0
1 	 156.140.199.17 	 0.003		||	11 	 0.0022	|	0 	 0
1 	 250.82.209.180 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 201.203.119.173 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 202.161.85.21 	 0.003		||	1 	 0.0002	|	0 	 0
1 	 66.155.183.137 	 0.003		||	6 	 0.0012	|	0 	 0
